exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
E0,16,3.6318750381469727,3.8001928329467773,0.3715997636318207,0.49214527010917664,0.604456848595898,0.8126025638775998
E1,11,4.186363697052002,4.073758602142334,0.44006797671318054,0.525745689868927,0.6016648282600792,0.8133545384346165
E2,9,3.9977777004241943,4.2882914543151855,0.3847233057022095,0.527158260345459,0.5918335470659633,0.9302232335779026
E3,11,3.4954001903533936,4.125665187835693,0.898712158203125,0.9868013262748718,-1.0359885132493964,0.1570865889089857
E4,10,3.613999843597412,4.244494438171387,0.6821092963218689,0.8686733841896057,-0.2703506559618378,0.6710727598452878
E5,11,4.268181800842285,4.158097743988037,0.38185498118400574,0.49386322498321533,0.23504179752298104,0.6927353011966113
E6,11,4.489090442657471,4.377870082855225,0.3611133396625519,0.44965440034866333,0.5382172847064671,0.7606797015380945
E7,11,4.121818542480469,4.364819049835205,0.5821391940116882,0.6757578253746033,-0.5826064148795236,0.34134477354612297
E8,11,4.248636245727539,4.35217809677124,0.39719894528388977,0.564821720123291,0.5179261172294556,0.7506396269625852
E9,6,4.383350372314453,4.652400970458984,0.2690514028072357,0.3373066484928131,-2.384445525327671,-0.6765622564914721
