person,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
P12,24,3.144791603088379,3.650779962539673,0.7978775501251221,0.9378336071968079,-0.9713312684783459,-0.31604863141900646
P13,25,3.699000358581543,3.690516948699951,0.5299442410469055,0.6436342597007751,0.01714622461152726,0.2179822770532153
P8,29,4.603451251983643,4.610296249389648,0.24406875669956207,0.31358423829078674,0.06225321173016851,0.29690141439575324
P9,29,4.413255214691162,4.694934844970703,0.4151654839515686,0.5078446269035339,-0.22430552843308393,0.39038163196695447
