exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2
E0,12,3.753333330154419,3.7796436746915183,0.33021161953608197,0.4398357724688955,0.662747552089359
E1,11,4.229545441540805,4.059892285953868,0.5043768015774813,0.6083743876595963,0.18948564891920538
E2,10,3.831999945640564,4.128513813018799,0.4493033170700073,0.6496628667121652,0.4543733446049849
E3,11,3.8472727212038906,3.7488086873834785,0.8848309733650901,1.1200086457323408,-0.5507862755404609
E4,10,3.7839999914169313,3.6223365545272825,0.6445960521697998,0.8834038888119348,0.038041418945196415
E5,10,4.501419973373413,4.162796592712402,0.4075949668884277,0.5664721479534147,0.13785948285184624
E6,11,4.492727301337502,4.210351423783735,0.4341098395260898,0.6612584341373244,-0.3419634081642329
E7,12,4.133333285649617,4.322113653024037,0.3600050409634908,0.44084817081438865,0.07375331809486829
E8,10,4.169500017166138,3.7438859701156617,0.579378342628479,0.8777564237872174,-0.1835833591699776
E9,9,3.975933313369751,4.043766313129002,0.3864026599460178,0.4346348922297797,0.7086975294905637
