exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2
E0,12,3.753333330154419,4.106163918972015,0.413510541121165,0.5887297516926119,0.39576485612440115
E1,11,4.229545441540805,4.229498733173717,0.3637880628759211,0.4590047614020111,0.5386258629016443
E2,10,3.831999945640564,4.230548310279846,0.5358057975769043,0.7898693136487698,0.19345245419756207
E3,11,3.8472727212038906,4.140998796983198,0.5593335195021196,0.852075944296282,0.10243520995812239
E4,10,3.7839999914169313,4.138363718986511,0.5308892726898193,0.8582935851674843,0.09195056419949987
E5,10,4.501419973373413,4.310120224952698,0.39839584827423097,0.45988807923457503,0.4317685888259434
E6,11,4.492727301337502,4.317489320581609,0.3224119923331521,0.36564100888114237,0.58969385398371
E7,12,4.133333285649617,4.3747097452481585,0.27332423130671185,0.38245021500613824,0.3028946789314032
E8,10,4.169500017166138,4.155447483062744,0.5324928760528564,0.6316191414814492,0.387139849485742
E9,9,3.975933313369751,4.304090049531725,0.5431353251139323,0.8811185126242647,-0.1971915513384337
