person,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
P12,5,2.927999973297119,3.42968544960022,0.527968168258667,0.6685639956254351,-0.7674372062613719,0.5712934909334167
P13,5,3.3,3.3070981025695803,0.3345616340637207,0.42769341938272604,-0.478991088019904,-0.503787514423495
P8,3,4.6533331871032715,4.047991196314494,0.6053419907887777,0.6157142052268346,-136.5783205815922,0.4254085663470284
P9,3,4.336666584014893,4.141520818074544,0.25429391860961914,0.3635422665344097,-0.5363812444512044,-0.33870620107494276
