exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
E0,16,3.6318750381469727,3.851471185684204,0.43925240635871887,0.5989444255828857,0.41415821922957774,0.7021122469692205
E1,11,4.186363697052002,4.103930950164795,0.4102499783039093,0.525418758392334,0.6021601043606843,0.7910018147024386
E2,9,3.9977777004241943,4.130514144897461,0.32562029361724854,0.43095457553863525,0.7272164100771792,0.8796308607528049
E3,11,3.4954001903533936,4.143415451049805,0.8178170919418335,0.9113600850105286,-0.736584443844819,0.4094391629756044
E4,10,3.613999843597412,4.159914493560791,0.6372565627098083,0.7598978877067566,0.027877365008359467,0.7314380728912231
E5,11,4.268181800842285,4.129827976226807,0.35666510462760925,0.5109557509422302,0.1811753776659749,0.6805345817935874
E6,11,4.489090442657471,4.2272629737854,0.2784895598888397,0.4612889885902405,0.5140114121324162,0.844803620124997
E7,11,4.121818542480469,4.235473155975342,0.6027282476425171,0.7478554844856262,-0.938322682997923,0.2387079426405516
E8,11,4.248636245727539,4.24674654006958,0.2994641363620758,0.4039115905761719,0.7534735895105127,0.8680802537055247
E9,6,4.383350372314453,4.623929500579834,0.2961215078830719,0.38421630859375,-3.3912625356043433,-0.9278256252624582
