person,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
P0,1,4.408199787139893,4.456647872924805,0.04844808578491211,0.04844808578491211,,
P10,2,1.790000081062317,3.6891413927078247,1.8991413116455078,1.9031753138820635,-28.567965566542128,1.0
P11,1,4.559999942779541,3.3141965866088867,1.2458033561706543,1.2458033561706543,,
P12,3,2.5200000603993735,3.6981809933980307,1.1781809329986572,1.213289552006465,-18.506254263666918,-0.9144622533314795
P5,1,4.579999923706055,4.352436542510986,0.22756338119506836,0.22756338119506836,,
P7,1,4.639999866485596,4.522786617279053,0.11721324920654297,0.11721324920654297,,
