person,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
P12,72,3.144791672627131,3.5211127963331013,0.6908061106999716,0.8217040133679191,-0.5133481300106413,-0.17063830542278255
P13,75,3.699000024795532,3.5051068846384683,0.5256083552042643,0.6886918277957931,-0.1252796792669273,0.03879700161726585
P8,87,4.603451728820801,4.636616142316797,0.2424342111609448,0.3235041348834106,0.001985663945340166,0.2852618999720102
P9,87,4.41325516536318,4.678088171728726,0.3817155498197709,0.49927816328025326,-0.1833500399424195,0.38731128933330167
