person,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
P12,5,2.927999973297119,3.2522045612335204,0.6259105205535889,0.6859402548470431,-0.8605039851051122,-0.6277188019927641
P13,5,3.3,2.9110806465148924,0.433668327331543,0.5404717803928877,-1.3618182114112636,0.24379100179685645
P8,3,4.6533331871032715,4.469089984893799,0.18424320220947266,0.20145270876842034,-13.727800060036149,0.6491905366110535
P9,3,4.336666584014893,4.4591444333394366,0.3052024841308594,0.31122263450986126,-0.125982200308552,0.26490145492480466
