exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
E0,48,3.6318749487400055,3.8588582475980124,0.4111410876115163,0.5260810208411166,0.5480269839678117,0.8064369117555561
E1,33,4.186363653703169,4.052284320195516,0.4057559316808527,0.48026843962071364,0.6675967636096255,0.8595547737851443
E2,27,3.997777806388007,4.1949578479484275,0.35510988588686343,0.5021820876614622,0.6295942744199714,0.8417486466997395
E3,33,3.4954000169580635,4.147920760241422,0.8711530223037257,0.9667306436361283,-0.9540103592211233,0.28554995610764394
E4,30,3.6140000581741334,4.206269534428914,0.6504096905390422,0.80555662929621,-0.09245294711239915,0.7327222246704097
E5,33,4.268181822516701,4.15492463834358,0.3904853517358953,0.5340387554676901,0.10552164123592633,0.6215003228715749
E6,33,4.489090919494629,4.343858754996098,0.232170227802161,0.38235852587905267,0.6660960870853012,0.8474201377669168
E7,33,4.121818174015392,4.261153105533484,0.5718350193717263,0.7148639375165519,-0.7710773471266963,0.24395023308052322
E8,33,4.248636440797285,4.315437743158052,0.3523030425563003,0.4958522565301963,0.6284687147236516,0.8007845994751913
E9,18,4.383349895477295,4.6341172854105634,0.27111148834228516,0.3360093471151897,-2.358462323124063,-0.07025033927044663
