exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2
E0,12,3.753333330154419,3.9138761162757874,0.4359933336575826,0.5202335017271954,0.5281861921127267
E1,11,4.229545441540805,3.9727055592970415,0.38813994147560815,0.5354796727427374,0.37207923775234586
E2,10,3.831999945640564,3.924112820625305,0.4486806392669678,0.5826615908113346,0.5611134509665494
E3,11,3.8472727212038906,3.950084772976962,0.5923478603363037,0.8108012900396299,0.18728540211652744
E4,10,3.7839999914169313,3.8790766477584837,0.4797220230102539,0.6641704299140143,0.4562530526042221
E5,10,4.501419973373413,4.226332116127014,0.29886319637298586,0.422427990141329,0.5205687854773385
E6,11,4.492727301337502,4.202571522105824,0.3619507226076993,0.46491296586848163,0.3366518201768841
E7,12,4.133333285649617,4.33847181002299,0.3361978530883789,0.3656300770172595,0.3628636153965282
E8,10,4.169500017166138,3.9568742990493773,0.5421525239944458,0.6567416932489281,0.3374174496694362
E9,9,3.975933313369751,4.087223185433282,0.49115191565619576,0.6920682559167954,0.261427981672663
