exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
E0,48,3.6318749487400055,3.898239736755689,0.4140508125225703,0.5369881801640558,0.5290913246386093,0.8231636288540798
E1,33,4.186363653703169,4.131763162034931,0.39838044571154047,0.48676137690524285,0.658548229666468,0.8505402634388122
E2,27,3.997777806388007,4.348186033743399,0.47119593620300293,0.6251741130381199,0.4259400763994876,0.8301534752103336
E3,33,3.4954000169580635,4.136282740217267,0.8577873056585138,0.9541216523224134,-0.903370766041597,0.25057327705723126
E4,30,3.6140000581741334,4.215878597895304,0.6403020938237508,0.8004237137622096,-0.07857532902416686,0.7574035185213174
E5,33,4.268181822516701,4.188201557506215,0.3759321082722057,0.5046128136217568,0.2013787975635415,0.6299301764397852
E6,33,4.489090919494629,4.33140890526049,0.2483117219173547,0.3739728631036903,0.6805814529698351,0.8588344462505705
E7,33,4.121818174015392,4.303633371988933,0.5678200938484885,0.6640810658853975,-0.5283856317543001,0.34551901877723873
E8,33,4.248636440797285,4.324226466092196,0.3535322637268991,0.5294850850080467,0.5763587272660154,0.7697759124761271
E9,18,4.383349895477295,4.615969975789388,0.25437868965996635,0.31790788095065436,-2.00635561809401,-0.1876263716781252
