exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
E0,48,3.6318749487400055,3.7655536234378815,0.3860929012298584,0.4990448187835005,0.5932886048605079,0.7912898506928371
E1,33,4.186363653703169,4.0298318068186445,0.4168154037359989,0.5382514637594946,0.582489323163123,0.7866767853525818
E2,27,3.997777806388007,4.29944470193651,0.36995221950389723,0.5065413249660516,0.6231356821564098,0.8907985240792528
E3,33,3.4954000169580635,4.172288858529293,0.9271476630008582,1.0221284078971786,-1.1843730461829272,0.18511262427715205
E4,30,3.6140000581741334,4.249142400423685,0.7147845109303792,0.8396220285106053,-0.18680191168203608,0.7113901592707961
E5,33,4.268181822516701,4.195375818194765,0.43653168100299256,0.5760770584542039,-0.040843532521262826,0.6298354665019282
E6,33,4.489090919494629,4.38439560659004,0.2068087621168657,0.37028637696951267,0.6868478338899155,0.8450590698997287
E7,33,4.121818174015392,4.338365533135154,0.6526847174673369,0.7411675635449869,-0.9038098069015534,0.3182786683506831
E8,33,4.248636440797285,4.33874282692418,0.3153331063010476,0.4727703806220044,0.6622531386824053,0.8259577324257183
E9,18,4.383349895477295,4.774558040830824,0.39279892709520126,0.45228120981658254,-5.084919727811056,-0.22282632348290604
