person,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
P12,72,3.144791672627131,3.5264521572324963,0.7762589885128869,0.9107432712377186,-0.8590880987024838,-0.2947915639965775
P13,75,3.699000024795532,3.565519158045451,0.5207397270202637,0.6676933968613246,-0.057705541698614304,0.12609678043337536
P8,87,4.603451728820801,4.745159631487967,0.23311769551244274,0.3275318756917813,-0.02302030193532434,0.41730123249112344
P9,87,4.41325516536318,4.784454395031107,0.4521071609409376,0.5491932030495515,-0.4317869287055123,0.48998626943007106
