exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
E0,16,3.6318750381469727,3.773291826248169,0.4192731976509094,0.5238026976585388,0.5519333168287006,0.777872283630138
E1,11,4.186363697052002,4.046947479248047,0.4070852994918823,0.5395993590354919,0.5803956525751901,0.780627405782447
E2,9,3.9977777004241943,4.345568656921387,0.4262148141860962,0.6070309281349182,0.45877613439727594,0.8905769759292366
E4,10,3.613999843597412,4.155713081359863,0.6038854122161865,0.7917582988739014,-0.05534839196832708,0.6695267505810177
E5,11,4.268181800842285,4.099352836608887,0.36523866653442383,0.5430578589439392,0.07505368647938482,0.6747634910639739
E6,11,4.489090442657471,4.248978137969971,0.27189210057258606,0.3979390263557434,0.6383295236260057,0.8788001782644111
E8,11,4.248636245727539,4.2436676025390625,0.30951860547065735,0.4609404504299164,0.6789442431567871,0.8240035094192847
