exercise,num_test_samples,mean_true_score,mean_predicted_score,MAE,RMSE,R2
E0,36,3.700833340485891,4.253964496983422,0.6136058701409234,0.9006467215978826,-0.0169968636280573
E1,33,4.073936354030263,4.332643248818138,0.564959345441876,0.7627295685018768,0.26717650380236313
E2,28,3.7685713853154863,4.357828097684043,0.7071921825408936,0.9893323201786614,-0.2737200346127284
E3,33,3.8509090813723477,4.25143179026517,0.5754744934313225,0.921588270156627,-0.04705803414291987
E4,30,3.7839999914169313,4.233064460754394,0.5851646820704143,0.9368990221486512,-0.08199020934218781
E5,30,4.501419973373413,4.354246783256531,0.43958446979522703,0.5081109772020044,0.3063536783571751
E6,33,4.492727301337502,4.367642763889197,0.3482217282959909,0.41470633010711583,0.4721876422272143
E7,36,4.133333285649617,4.409410039583842,0.28783513440026176,0.4181875710821411,0.1665283713870589
E8,32,4.212656274437904,4.252288289368153,0.5327936932444572,0.6480460271296231,0.34196093338535494
E9,27,3.975933313369751,4.325405138510245,0.4741864292709916,0.7613146252360026,0.10623501347271003
