camera,num_test_samples,mean_true_score,mean_predicted_score,MAE,RMSE,R2
C0,107,4.0571579331549525,4.305295371563635,0.49843883514404297,0.7445502464748872,0.19245883186378898
C1,104,4.036691337823868,4.317524735744183,0.5231351141746228,0.7629384661187542,0.15788863883285476
C2,107,4.0571579331549525,4.318660575652791,0.5068671970723946,0.7433155485811064,0.1951349243296412
