exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2
E0,12,3.7649999459584556,4.122644305229187,0.5265711545944214,0.6636965303714197,0.25960286147875467
E1,11,4.229545441540805,4.204607963562012,0.29263849691911176,0.38629138592630724,0.6732249331635418
E2,10,3.9140000104904176,4.434841966629028,0.6973231077194214,0.9665104627741115,0.009943142282643924
E3,11,3.8509090813723477,4.143025723370639,0.6301508816805753,0.9188451604314211,-0.04083416905832293
E4,10,3.7839999914169313,4.160752630233764,0.5556655645370483,0.8692264846616272,0.068669854421472
E5,10,4.501419973373413,4.355647230148316,0.28893451690673827,0.43470285546582954,0.49230145522547863
E6,11,4.492727301337502,4.366571708159014,0.2691187858581543,0.38001807318103514,0.5567928801976028
E7,12,4.133333285649617,4.459286868572235,0.3776402672131856,0.4473043432550643,0.04642510408340772
E8,9,4.1527778307596845,4.233123673333062,0.39913781483968097,0.5278852925225245,0.6197952807180868
E9,8,4.064587503671646,4.237400710582733,0.33625784516334534,0.35432845046434186,0.66437373345239
