exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2
E0,12,3.7516666650772095,3.936148524284363,0.4481605688730876,0.5292933685157013,0.5035391937630759
E1,11,4.229545441540805,4.090568824247881,0.4041862487792969,0.5092308230987301,0.43213090891985195
E2,10,3.831999945640564,4.074865245819092,0.42834951877593996,0.5951564143535525,0.5420883133633372
E3,11,3.8472727212038906,3.978615088896318,0.6344083872708407,0.8589724276094427,0.08784709504643329
E4,10,3.7839999914169313,3.9130801439285277,0.4505868434906006,0.6977538886876364,0.39987420992387024
E5,10,4.501419973373413,4.338327646255493,0.2120795726776123,0.37546467950047774,0.6212443589968728
E6,11,4.4909091212532735,4.25286095792597,0.3717875914140181,0.591209804402691,-0.07894737086498815
E7,12,4.133333285649617,4.422154625256856,0.3971017201741536,0.440887890771028,0.0735864028715777
E8,10,4.169500017166138,4.006709599494934,0.41311757564544677,0.5410622689126672,0.5502767751316182
E9,9,3.9675888220469155,4.051678710513645,0.39561279614766437,0.5078112692490659,0.5955774467158083
