exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
E0,48,3.6318749487400055,3.7077859739462533,0.37002067764600116,0.4647379168479589,0.64728538733552,0.8121896802022281
E1,33,4.186363653703169,3.973166494658499,0.39615384015170013,0.5109931860885851,0.6237059381599516,0.831335549510115
E2,27,3.997777806388007,4.0509881796660245,0.34382738007439506,0.44826710092581395,0.7048593778131511,0.8420560970645252
E3,33,3.4954000169580635,4.0526635719068125,0.8276925737207587,0.9256617474214078,-0.7915153168826867,0.3100413261612334
E4,30,3.6140000581741334,4.106926886240641,0.5830938577651977,0.7114894223975613,0.14778831565967032,0.7525758010512004
E5,33,4.268181822516701,4.085478110746904,0.3818906581763065,0.5557478249356813,0.03132112080134353,0.6494734540560508
E6,33,4.489090919494629,4.248601082599524,0.306375062826908,0.47258278062348935,0.4899230037707697,0.8087393874179343
E7,33,4.121818174015392,4.114061225544322,0.5514752864837646,0.7224184291460131,-0.8087076827863642,0.29152595583849045
E8,33,4.248636440797285,4.12924642273874,0.4015774510123513,0.560353087518796,0.5255239009213803,0.7398778128881685
E9,18,4.383349895477295,4.610410849253337,0.2821607059902615,0.3371060649331129,-2.3804218104578165,-0.14731660281758732
