person,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
P12,5,2.927999973297119,3.15834264755249,0.47147207260131835,0.5200741463027294,-0.06951912109569225,0.5021339975663305
P13,5,3.3,2.9259443283081055,0.39420261383056643,0.4828641481194569,-0.8851692307032561,0.6049662039575054
P8,3,4.6533331871032715,4.271344343821208,0.3819888432820638,0.38742192043749324,-53.470333729321794,0.1972620968068655
P9,3,4.336666584014893,4.23945156733195,0.188050905863444,0.20408900253013265,0.5157959898020683,0.8287349942797742
