exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2
E0,12,3.7516666650772095,4.092765649159749,0.4867432514826457,0.6343731731805369,0.2868486961415363
E1,11,4.229545441540805,4.40524825182828,0.5853485844352029,0.7670151661992911,-0.2883289542913874
E2,10,3.831999945640564,3.9492345333099363,0.5468852281570434,0.6988074601778653,0.36870179321606744
E3,11,3.8472727212038906,3.908109664916992,0.7703638293526389,1.061229525666437,-0.39228404872750056
E4,10,3.7839999914169313,3.913924956321716,0.448422908782959,0.7068515783248673,0.3841226622821382
E5,10,4.501419973373413,4.292696213722229,0.32220304012298584,0.3619503704859128,0.648019192241725
E6,11,4.4909091212532735,4.257907802408392,0.3395416086370295,0.4554262143590344,0.3597448862794621
E7,12,4.133333285649617,4.409126877784729,0.3627912600835164,0.4348185706205056,0.09891710219148386
E8,10,4.169500017166138,4.042638373374939,0.5821403741836548,0.7987423499124758,0.019913875367354894
E9,9,3.9675888220469155,4.113986624611749,0.3329413202073839,0.39990502979226833,0.7491902409995386
