person,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
P12,72,3.144791672627131,3.6871319280730352,0.8023174570666419,0.9457411499028484,-1.0047148155416483,-0.2258905857789947
P13,75,3.699000024795532,3.7038823699951173,0.5240373198191325,0.6572816174639609,-0.02497574832197036,0.07739029888770205
P8,87,4.603451728820801,4.613867502102907,0.24802883740129142,0.31097021339886316,0.07782214031796131,0.3512555386091783
P9,87,4.41325516536318,4.672937645309273,0.40600995907838316,0.4821298634653214,-0.10345887395999909,0.46565243334782475
