exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
E0,48,3.6318749487400055,3.8797782758871713,0.439924677213033,0.5494329661643267,0.5070116392091053,0.799149519391765
E1,33,4.186363653703169,4.073701533404264,0.4654560016863274,0.5523110834863033,0.5603929345096279,0.7790187312661615
E2,27,3.997777806388007,4.2544312565414995,0.45983847865351923,0.5911563298365511,0.48671337947573656,0.7982192614623108
E3,33,3.4954000169580635,4.146861791610718,0.8513476487362024,0.9475451134196456,-0.8772222105981708,0.2853616351939765
E4,30,3.6140000581741334,4.205468567212423,0.627418851852417,0.8454466709980079,-0.20332523777820355,0.6623686456659353
E5,33,4.268181822516701,4.208984346100778,0.38388628670663544,0.5085994426843266,0.18871014136792408,0.61446312183659
E6,33,4.489090919494629,4.32080526785417,0.28920698888374097,0.41186234968816243,0.6125781265265722,0.8231776751698086
E7,33,4.121818174015392,4.335442210688735,0.5804092884063721,0.69204125547886,-0.6597960285844167,0.30163822845777477
E8,33,4.248636440797285,4.402033972017692,0.36521889946677466,0.5124427071369583,0.6031910713793834,0.8195653884827757
E9,18,4.383349895477295,4.603072510825263,0.26356185807122123,0.3133845907787756,-1.921413551639954,-0.07100873912030918
