exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
E0,16,3.6318749487400055,3.762720838189125,0.41470663249492645,0.4893820008784634,0.6088861249916866,0.8057417973152352
E1,11,4.186363653703169,4.063373348929665,0.4555304267189719,0.5435389988004997,0.5742461665027954,0.7929667811193066
E2,9,3.997777806388007,4.172147750854492,0.415469143125746,0.5519163586782808,0.5525940155132009,0.8250123706708108
E3,11,3.4954000169580635,4.123905918814919,0.8521307815204967,0.9361392690130252,-0.8323009979654521,0.3338424468836306
E4,10,3.6140000581741334,4.144037795066834,0.5779606342315674,0.7583467631411008,0.031841944358650176,0.7285408843995105
E5,11,4.268181822516701,4.172783721577037,0.37185519391840155,0.4629214971654783,0.32789212287534564,0.7047632550373085
E6,11,4.489090919494629,4.277053269472989,0.30889537117697974,0.4346299746187077,0.5685610997343087,0.8193183804149992
E7,11,4.121818174015392,4.2342635068026455,0.48585083267905493,0.6198753469889428,-0.3316787794496865,0.32736523892677594
E8,11,4.248636440797285,4.216514522379095,0.3818275711753152,0.5531286481242537,0.5376795471442505,0.7440147060816946
E9,6,4.383349895477295,4.642074346542358,0.3323663870493571,0.41964135773479067,-4.238347799742843,-0.7602887716326165
