exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2
E0,12,3.7649999459584556,3.6990395188331604,0.3490338921546936,0.5245978354853695,0.5374287617014574
E1,11,4.229545441540805,4.0764030759984795,0.6601179296320135,0.7841652900191424,-0.3465859988823137
E2,10,3.9140000104904176,4.075836133956909,0.4869803190231323,0.6720694742248536,0.52128685090098
E3,11,3.8509090813723477,3.9116569432345303,0.702210317958485,1.0289919603398612,-0.3053315638852432
E4,10,3.7839999914169313,3.766724681854248,0.7030686616897583,0.9133888214624791,-0.02836939671276384
E5,10,4.501419973373413,4.273659133911133,0.324627161026001,0.36766169484176897,0.636823530591671
E6,11,4.492727301337502,4.302813920107755,0.21974691477688876,0.34651146555940027,0.6315034349690984
E7,12,4.133333285649617,4.371008733908336,0.32994411389033,0.37684652909269795,0.3231730890259964
E8,9,4.1527778307596845,3.997386746936374,0.3641249073876275,0.5637848593077148,0.5663241925108256
E9,8,4.064587503671646,4.220899909734726,0.4758239984512329,0.5519757665248601,0.18551345476583225
