person,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
P12,72,3.144791672627131,3.632132371266683,0.7717294858561622,0.9032238963298449,-0.828516426867407,-0.2147781848665275
P13,75,3.699000024795532,3.6751180489857993,0.5278116861979166,0.6573937652296761,-0.025325548296644795,0.10010377265507286
P8,87,4.603451728820801,4.667344356405324,0.22034321708240728,0.2995372606207573,0.14438416174310176,0.447339333716042
P9,87,4.41325516536318,4.702047123306099,0.4224819588935238,0.5035245298030545,-0.20356444923658668,0.4388342174858443
