person,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
P0,1,4.408199787139893,4.5378289222717285,0.12962913513183594,0.12962913513183594,,
P10,1,2.140000104904175,3.830526113510132,1.690526008605957,1.690526008605957,,
P11,1,4.559999942779541,3.434088706970215,1.1259112358093262,1.1259112358093262,,
P12,3,2.5200000603993735,3.9029102325439453,1.382910172144572,1.4162587667402273,-25.57848289921685,-0.7459827305161454
P5,1,4.619999885559082,4.38381290435791,0.23618698120117188,0.23618698120117188,,
P7,1,4.559999942779541,4.30613374710083,0.25386619567871094,0.25386619567871094,,
