exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
E0,48,3.6318749487400055,3.8496797680854797,0.4356212019920349,0.534929265033846,0.5326955092053356,0.7901772814291447
E1,33,4.186363653703169,4.051692919297651,0.4485717542243726,0.5424018634795591,0.5760257381249705,0.7893195128605736
E2,27,3.997777806388007,4.296084262706615,0.3717586464352078,0.5301519243523473,0.5871845527346784,0.8783029656591755
E3,33,3.4954000169580635,4.158724589781328,0.873319640304103,0.9659884387663848,-0.9510111385159103,0.27175735263183265
E4,30,3.6140000581741334,4.250077581405639,0.6676752964655558,0.8270048448881776,-0.1514012489541814,0.7872653853628674
E5,33,4.268181822516701,4.194654356349599,0.3848904551881732,0.5034842988186895,0.20494687210130924,0.6352155418193981
E6,33,4.489090919494629,4.366563984842012,0.28294093681104254,0.41149924439812724,0.6132609416518637,0.805748476296825
E7,33,4.121818174015392,4.30575113585501,0.5542705492539839,0.6306408022989954,-0.37833531178491064,0.384626533892421
E8,33,4.248636440797285,4.346027092500166,0.3666160756891424,0.538661864713088,0.5615467815088457,0.8099116406839931
E9,18,4.383349895477295,4.652698702282375,0.2798522578345405,0.3445945676140704,-2.5322758850686626,-0.17080018531939434
