person,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
P12,72,3.144791672627131,3.6483242677317724,0.7732483877076043,0.9168883894508566,-0.8842606330894949,-0.20197317840508264
P13,75,3.699000024795532,3.704604670206706,0.5329135672251384,0.6533706500901102,-0.012814384157008973,0.1271806444128949
P8,87,4.603451728820801,4.645991067776735,0.25395162626244555,0.31875414465131585,0.03107806299029936,0.3013570250091755
P9,87,4.41325516536318,4.669845427589855,0.3945841186348049,0.4764376021411525,-0.07755673670458085,0.5042884726989231
