exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
E0,48,3.6318749487400055,3.7821220010519028,0.37871653338273364,0.48916036490324727,0.6092403075141753,0.805035151719954
E1,33,4.186363653703169,4.00149317221208,0.424279277974909,0.5374124493944129,0.5837899213447604,0.7957525100023897
E2,27,3.997777806388007,4.307197111624259,0.3725543287065294,0.5101704003258497,0.6177163087683624,0.8871271235974407
E3,33,3.4954000169580635,4.160803975480976,0.9235827417084665,1.005672008315928,-1.1146018894263796,0.2310830723956457
E4,30,3.6140000581741334,4.245298433303833,0.7143436352411906,0.8360156612362657,-0.17662863954086983,0.7121612053648328
E5,33,4.268181822516701,4.1730076399716465,0.42966326800259674,0.5792724857541172,-0.05242241446317375,0.6384727112004634
E6,33,4.489090919494629,4.3673481290990654,0.20162304242451987,0.37742110426899517,0.674663857306488,0.8468757289836495
E7,33,4.121818174015392,4.3240462216463955,0.646738102941802,0.7379484763156073,-0.8873082188062329,0.3275298760018032
E8,33,4.248636440797285,4.326378583908081,0.31538252397017047,0.4605490546927425,0.6794892558652404,0.8359518921336666
E9,18,4.383349895477295,4.750671598646376,0.36732170316908097,0.43495885916926497,-4.627741294045999,-0.22059353355663736
