person,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
P12,72,3.144791672627131,3.5180619955062866,0.7629891269736819,0.8929406754623507,-0.787118049603597,-0.2808578984204272
P13,75,3.699000024795532,3.5435781288146972,0.5197378126780192,0.6682470999105709,-0.0594605317031216,0.1534114248224374
P8,87,4.603451728820801,4.745793764618622,0.2356586511107697,0.3372615139260747,-0.08470259251021339,0.35669751682427014
P9,87,4.41325516536318,4.774780503634749,0.44739632222844267,0.5439345880240882,-0.40449901081266004,0.47656376966385355
