exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
E0,16,3.6318749487400055,3.6860540360212326,0.41268785297870636,0.4746980417889923,0.6320048296597103,0.7980304256424202
E1,11,4.186363653703169,4.002387458627874,0.43886997482993384,0.5322456695996194,0.5917544869028946,0.8004365209565726
E2,9,3.997777806388007,4.0089703930748835,0.422830687628852,0.5213250529679812,0.6008166231951659,0.7820586146456469
E3,11,3.4954000169580635,4.052149469202215,0.8502514362335205,0.9415012617494545,-0.8533511173946822,0.3608973590350542
E4,10,3.6140000581741334,4.085992097854614,0.5411131620407105,0.7346073023076083,0.09150807647823889,0.6838996480847034
E5,11,4.268181822516701,4.035415822809393,0.4219893758947199,0.6081694576282567,-0.16004142821935607,0.6669845483095301
E6,11,4.489090919494629,4.114466732198542,0.38097695870832965,0.6044644786305522,0.16550926257780674,0.7526557688886457
E7,11,4.121818174015392,4.05149245262146,0.5564040704206987,0.725787464548458,-0.8256170219675307,0.25205676377090896
E8,11,4.248636440797285,3.9291939301924272,0.5640264641154896,0.653782454486671,0.35411183826763193,0.7148915374199705
E9,6,4.383349895477295,4.702273050944011,0.3189231554667155,0.41389653768436424,-4.095905314757159,-0.07733829416285766
