Exercise,View,Method,Model,Train MAE,Train RMSE,Train R2,Train PCC,Validation MAE,Validation RMSE,Validation R2,Validation PCC,Test MAE,Test RMSE,Test R2,Test PCC
E0,Single View,C0,CNN,0.1934176534414291,0.28391894698143,0.9175053426194462,0.9698382449075972,0.4672757089138031,0.5598801374435425,0.6121798062410573,0.8056719778309198,0.4568093419075012,0.5647589564323425,0.4791249836520832,0.8144065556853011
E0,Single View,C1,CNN,0.1805904358625412,0.2736073732376098,0.9233887439671792,0.9689033507256826,0.4474525451660156,0.5139426589012146,0.6907790286112185,0.8323583937474404,0.3875990808010101,0.4452280402183532,0.6762779766433292,0.8475746077283379
E0,Single View,C2,CNN,0.2311529666185379,0.34308061003685,0.8795437303008553,0.945784922584435,0.5168731808662415,0.6221591234207153,0.5211016800566765,0.8844175122484174,0.4055062532424927,0.4634019434452057,0.6493103622045225,0.8251195972587533
E0,Single View,all_cameras,CNN,0.274550050497055,0.4251003563404083,0.8150646437344704,0.9165339913373696,0.4534544348716736,0.5302031636238098,0.6522037281317273,0.8504103669096754,0.4060275554656982,0.477285236120224,0.6279826084086864,0.820668299974896
E0,Multi View,early_fusion,CNN,0.380711168050766,0.5355300307273865,0.7065023346000783,0.9107391237621364,0.5574368238449097,0.7247071862220764,0.3502212770195474,0.7803334563567602,0.5327877998352051,0.6266072392463684,0.3587932983369404,0.6737142973914017
E0,Multi View,middle_fusion,CNN,0.0823649764060974,0.1229486092925071,0.984530214048512,0.9969330751593498,0.5386512875556946,0.6661660075187683,0.4509582877734077,0.7722232690366062,0.420031726360321,0.4701428413391113,0.6390335241887963,0.804222484951573
E0,Multi View,late_fusion,CNN,0.1139797270298004,0.1683605909347534,0.9709919923693112,0.9892183794890806,0.5361769795417786,0.635818362236023,0.4998427848881008,0.7418184279709502,0.4306257963180542,0.5208102464675903,0.557038196823302,0.8058848738630034
E1,Single View,C0,CNN,0.3499298691749573,0.4990092813968658,0.6761998085462935,0.8731855951172073,0.4801324009895324,0.5510641932487488,0.4820982768161463,0.707781513716439,0.4256094694137573,0.5588324069976807,0.5499504703858829,0.7488376104408258
E1,Single View,C1,CNN,0.3590741753578186,0.498163104057312,0.677297026425357,0.8995699480777193,0.5486392974853516,0.6269998550415039,0.3295321524121312,0.5743220515835459,0.4526761770248413,0.5193869471549988,0.6112420889809573,0.8170510014275464
E1,Single View,C2,CNN,0.3128781616687774,0.4448277652263641,0.7426977254222397,0.9020980221067958,0.4853328466415405,0.5465936064720154,0.4904671195038541,0.7210165581579211,0.4242138564586639,0.5243513584136963,0.6037748855574141,0.8031538230137966
E1,Single View,all_cameras,CNN,0.3300732970237732,0.4580789804458618,0.7271395512890597,0.87990940969245,0.4492163062095642,0.5187731385231018,0.5410154735846492,0.7373010331951152,0.394670307636261,0.4950631856918335,0.646801865959312,0.8144964213308806
E1,Multi View,early_fusion,CNN,0.5133207440376282,0.6666103005409241,0.4221648718266728,0.7820993342237456,0.6230365633964539,0.7333958148956299,0.0826821029204621,0.297635355509545,0.7130529880523682,0.7590341567993164,0.1697291965487564,0.4924064402807574
E1,Multi View,middle_fusion,CNN,0.2147095203399658,0.2887965440750122,0.8915464350193677,0.979498759959164,0.4189943075180053,0.5186429619789124,0.5412457552702081,0.7989298765329703,0.3217894434928894,0.4307562112808227,0.7326007413512522,0.8835392200056773
E1,Multi View,late_fusion,CNN,0.2380511462688446,0.303079605102539,0.8805535434765003,0.9665288472747188,0.4226979315280914,0.5292378067970276,0.522311506933328,0.7833908077001528,0.4145066142082214,0.496877908706665,0.644207702575028,0.8744787579936325
