exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2
E0,12,3.7649999459584556,4.106192310651143,0.4870146115620931,0.6564823166557718,0.27561124243388824
E1,11,4.229545441540805,4.233538237485019,0.3655592528256503,0.43666319083217237,0.5824465920509216
E2,10,3.9140000104904176,4.222026228904724,0.6288806438446045,0.8563066947553954,0.2228484891941236
E3,11,3.8509090813723477,4.098016240380027,0.5823855833573774,0.8818059241927638,0.04138791231255945
E4,10,3.7839999914169313,4.12640483379364,0.5475759029388427,0.8622655255937905,0.08352672470539568
E5,10,4.501419973373413,4.275878977775574,0.3585463762283325,0.41799723343984124,0.5305733436539534
E6,11,4.492727301337502,4.347222718325528,0.2448833855715665,0.28740980634442853,0.7464863259591773
E7,12,4.133333285649617,4.363536834716797,0.264782190322876,0.34464753766989864,0.43389246039696794
E8,9,4.1527778307596845,4.214970482720269,0.43185578452216256,0.5605104167934892,0.5713471110519697
E9,8,4.064587503671646,4.255047708749771,0.2937537431716919,0.3951831101612557,0.5825152253574362
