exercise,num_test_trials,mean_true_score,mean_predicted_score,MAE,RMSE,R2,PCC
E0,16,3.6318750381469727,3.7989511489868164,0.3809277415275574,0.48493605852127075,0.6159602166309643,0.8244848295638545
E1,11,4.186363697052002,4.111666679382324,0.3818555176258087,0.4881070554256439,0.6566576918592247,0.8253616119783965
E2,9,3.9977777004241943,4.303330421447754,0.3824673295021057,0.538626492023468,0.5738811719244336,0.9050561942816147
E4,10,3.613999843597412,4.314288139343262,0.7206865549087524,0.9195330142974854,-0.4234600577112255,0.6799496865028363
E5,11,4.268181800842285,4.260130405426025,0.3972393870353699,0.48496609926223755,0.2623556596754931,0.6904048122012965
E6,11,4.489090442657471,4.408853054046631,0.28677141666412354,0.3956488072872162,0.6424805794019237,0.8167303421960873
E8,11,4.248636245727539,4.4039998054504395,0.3380444347858429,0.5034685134887695,0.616967684609164,0.8350658174109915
